"","ppt","horse_name","length_description","origin","response","description","in_analysis"
"73",40,"Saffron Crest",9,"Created","9","Saffron Crest was bred stout and asserted without stick.","Yes"
"74",40,"Bramble Halo",9,"Created","8","Bramble Hallo was known for sitting handy and traveling.","Yes"
"75",40,"Summer Breeze",9,"Created","7","Summer Breeze ran with credit with a tongue-tie fitted.","Yes"
"76",40,"Midnight Inferno",6,"Created","6","Midnight Inferno nursed it through gears.","Yes"
"77",40,"Port Louis",13,"Attheraces","8","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","Yes"
"78",40,"Star Dust",11,"Created","6","Star Dust is a fettle that showed plenty on the gallops.","Yes"
"79",40,"Gilded Lily",9,"Created","8","Gilded Lily charged to the line on the gallops.","Yes"
"80",40,"Emerald",9,"Created","7","Emerald was a picture in running at 7 furlongs.","Yes"
"81",40,"Windchaser",9,"Created","6","Windchaser had the edge without showing in the turfs.","Yes"
"82",40,"Nightfall",8,"Created","4","Nightfall proved over the trip after running green.","Yes"
"83",40,"Desert Flower",9,"Created","3","Desert Flower ran in snatches, still on the bridle.","Yes"
"84",40,"Gallant Storm",11,"Created","3","Gallant Storm was out of a stager and sat box seat.","Yes"
"85",40,"Karerin",11,"Attheraces","4","Karenin was placed and took it to the wire.","Yes"
"86",40,"Skybreaker",10,"Created","6","Skybreaker had undergone a wind operation and so travelled cleaner.","Yes"
"87",40,"Steady Fighter",9,"Created","2","Steady Fighter had afterburners, scrambling home the last furlong.","Yes"
"88",40,"Blue Blaze",9,"Created","7","Blue Blaze hit the rising ground on the steel.","Yes"
"89",40,"Flint Sonata",13,"Created","6","Flint Sonata, wind op, had been suited by the cut in the ground.","Yes"
"90",40,"Celestial Queen",10,"Created","7","Celestial Queen answered every call in a field of fillies.","Yes"
"91",40,"Air Ace",6,"Created","7","Air Ace, gelded recently, made headway.","Yes"
"92",40,"Velvet Thunder",12,"Created","2","Velvet Thunder held up in rear, the drop in trip should suit.","Yes"
"93",40,"Crimson Eclipse",10,"Created","4","Crimson Eclipse was from an in-from yard and always covered.","Yes"
"94",40,"Indigo Marc",9,"Created","4","Indigo Marc found another leg in the last furlong.","Yes"
"95",40,"Bold Pride",9,"Created","6","Bold Pride was from a shrewd yard and cruising.","Yes"
"96",40,"Stockman",13,"Attheraces","3","Stockman led them a merry dance after being pipped.","Yes"
"97",40,"Neon Charger",9,"Created","2","Neon Charger was let in lightly on prior evidence.","Yes"
"98",40,"Worthing",9,"Created","1","Worthing flowed in the turf course running in blinkers.","Yes"
"99",40,"Silent Eclipse",8,"Created","6","Silent Eclipse travelled into the dip, digging deep.","Yes"
"100",40,"Vladimir",12,"Attheraces","5","Vladimir was narrowly beaten in a fair maiden on the turf course.","Yes"
"101",40,"Wave Rider",9,"Created","1","Wave Rider broke hearts late after dropping in class.","Yes"
"102",40,"Oblique Runner",9,"Created","2","Oblique Runner switched yards, hitting rising ground on steel.","Yes"
"103",40,"Silver Phantom",10,"Created","3","Silver Phantom heard the clock tick in the last furlong.","Yes"
"104",40,"Pale Corsair",7,"Created","6","Pale Corsair found plenty off the bridle.","Yes"
"105",40,"Ticker Pike",6,"Created","5","Ticker Pike had it written beforehand.","Yes"
"106",40,"Black Ember",8,"Created","4","Black Ember had matters in safekeeping turning in.","Yes"
"107",40,"Royal Rebel",8,"Created","2","Royal Rebel was visored for the first time.","Yes"
"108",40,"Crystal Frontier",6,"Created","5","Crystal Frontier settled well in midfield.","Yes"
"109",40,"Ruby Ash",9,"Created","4","Ruby Ash had a stripped fitter for the reappearance.","Yes"
"110",40,"Urban Legend",11,"Created","6","Urban Legend was in the mix with a generous weight.","Yes"
"111",40,"Scarlet Racer",12,"Created","6","Scarlet Racer was a yard in form and picked up once angled.","Yes"
"112",40,"Lunar Charger",9,"Created","8","Lunar Charger was bred for trip and came cruising.","Yes"
"113",40,"Leeloo",12,"Created","4","Leeloo was on a string despite being collared in the closing stages.","Yes"
"114",40,"Solar Flash",11,"Created","3","Solar Flash had a bit to spare in a quiet sit.","Yes"
"115",40,"Copper Legacy",8,"Created","3","Copper Legacy hung left in the turf course.","Yes"
"116",40,"Vanya",10,"Attheraces","7","Vanya reverted to the flat and the sand boded well.","Yes"
"117",40,"Auric Vale",9,"Created","6","Auric Vale took the measure in first-time hood.","Yes"
"118",40,"Flashfire",9,"Created","6","Flashfire had a line to the judge being covered.","Yes"
"119",40,"Green Dusk",11,"Created","4","Green Dusk had a shade snug in the sands last time.","Yes"
"120",40,"Echo Fury",7,"Created","3","Echo Fury held under a tender ride.","Yes"
"121",40,"Lovelace",12,"Attheraces","6","Lovelace was first-time hooded and worked the oracle.","Yes"
"122",40,"Nimbus Crest",12,"Created","7","Nimbus Crest is a sharp sire who settled and saw it out.","Yes"
"123",40,"Estragon",11,"Attheraces","7","Estragon was left-handed and secured a hat-trick.","Yes"
"124",40,"Onyx Rune",7,"Created","10","Onyx Rune answered every question readily.","Yes"
"125",40,"Blue Horizon",9,"Gemini","3","Blue Horizon raced without the cheekpieces.","Yes"
"126",40,"Dark Mirage",8,"Created","3","Dark Mirage found the seam with first-time blinkers.","Yes"
"127",40,"Golden Tempest",7,"Created","2","Golden Tempest did mind the business end.","Yes"
"128",40,"Brave Horizon",9,"Created","3","Brave Horizon had them stretched before the furlong pole.","Yes"
"129",39,"Bramble Halo",9,"Created","6","Bramble Hallo was known for sitting handy and traveling.","No"
"130",39,"Royal Rebel",8,"Created","6","Royal Rebel was visored for the first time.","No"
"131",39,"Vladimir",12,"Attheraces","8","Vladimir was narrowly beaten in a fair maiden on the turf course.","No"
"132",39,"Moss Relic",12,"Created","4","Moss Relic was always in the box seat under a cool ride.","No"
"133",39,"Silversky",8,"Attheraces","3","Silversky began his handicap career last time out.","No"
"134",39,"Estragon",11,"Attheraces","9","Estragon was left-handed and secured a hat-trick.","No"
"135",39,"Swift Valor",9,"Created","6","Swift Valor went through the bridle approaching the pole.","No"
"136",39,"Brave Horizon",9,"Created","3","Brave Horizon had them stretched before the furlong pole.","No"
"137",39,"Onyx Rune",7,"Created","8","Onyx Rune answered every question readily.","No"
"138",39,"Golden Tempest",7,"Created","6","Golden Tempest did mind the business end.","No"
"139",39,"Blue Blaze",9,"Created","8","Blue Blaze hit the rising ground on the steel.","No"
"140",39,"Comet Stride",7,"Created","6","Comet Stride had claimer and came widest.","No"
"141",39,"Ticker Pike",6,"Created","9","Ticker Pike had it written beforehand.","No"
"142",39,"Scarlet Racer",12,"Created","5","Scarlet Racer was a yard in form and picked up once angled.","No"
"143",39,"Green Dusk",11,"Created","7","Green Dusk had a shade snug in the sands last time.","No"
"144",39,"Blue Horizon",9,"Gemini","6","Blue Horizon raced without the cheekpieces.","No"
"145",39,"Lightning Monarch",10,"Created","6","Lightning Monarch settled his own sums in the turf course.","No"
"146",39,"Bold Pride",9,"Created","6","Bold Pride was from a shrewd yard and cruising.","No"
"147",39,"Ruby Ash",9,"Created","8","Ruby Ash had a stripped fitter for the reappearance.","No"
"148",39,"Dark Mirage",8,"Created","7","Dark Mirage found the seam with first-time blinkers.","No"
"149",39,"Silver Phantom",10,"Created","6","Silver Phantom heard the clock tick in the last furlong.","No"
"150",39,"Electric Stride",10,"Created","6","Electric Stride was by Miller and came widest, always holding.","No"
"151",39,"Wave Rider",9,"Created","4","Wave Rider broke hearts late after dropping in class.","No"
"152",39,"Emerald",9,"Created","7","Emerald was a picture in running at 7 furlongs.","No"
"153",39,"Steady Fighter",9,"Created","2","Steady Fighter had afterburners, scrambling home the last furlong.","No"
"154",39,"Air Ace",6,"Created","7","Air Ace, gelded recently, made headway.","No"
"155",39,"Velvet Thunder",12,"Created","4","Velvet Thunder held up in rear, the drop in trip should suit.","No"
"156",39,"Leeloo",12,"Created","4","Leeloo was on a string despite being collared in the closing stages.","No"
"157",39,"Solar Flash",11,"Created","4","Solar Flash had a bit to spare in a quiet sit.","No"
"158",39,"Urban Legend",11,"Created","6","Urban Legend was in the mix with a generous weight.","No"
"159",39,"Celestial Queen",10,"Created","7","Celestial Queen answered every call in a field of fillies.","No"
"160",39,"Windchaser",9,"Created","6","Windchaser had the edge without showing in the turfs.","No"
"161",39,"Oblique Runner",9,"Created","7","Oblique Runner switched yards, hitting rising ground on steel.","No"
"162",39,"Summer Breeze",9,"Created","7","Summer Breeze ran with credit with a tongue-tie fitted.","No"
"163",39,"Desert Flower",9,"Created","4","Desert Flower ran in snatches, still on the bridle.","No"
"164",39,"Karerin",11,"Attheraces","4","Karenin was placed and took it to the wire.","No"
"165",39,"Saffron Crest",9,"Created","6","Saffron Crest was bred stout and asserted without stick.","No"
"166",39,"Star Dust",11,"Created","8","Star Dust is a fettle that showed plenty on the gallops.","No"
"167",39,"Stockman",13,"Attheraces","7","Stockman led them a merry dance after being pipped.","No"
"168",39,"Indigo Marc",9,"Created","7","Indigo Marc found another leg in the last furlong.","No"
"169",39,"Lunar Charger",9,"Created","6","Lunar Charger was bred for trip and came cruising.","No"
"170",39,"Flashfire",9,"Created","7","Flashfire had a line to the judge being covered.","No"
"171",39,"Nimbus Crest",12,"Created","5","Nimbus Crest is a sharp sire who settled and saw it out.","No"
"172",39,"Port Louis",13,"Attheraces","6","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","No"
"173",39,"Flint Sonata",13,"Created","3","Flint Sonata, wind op, had been suited by the cut in the ground.","No"
"174",39,"Diamond Hood",6,"Created","3","Diamond Hood found under minimal cajoling.","No"
"175",39,"Black Ember",8,"Created","6","Black Ember had matters in safekeeping turning in.","No"
"176",39,"Auric Vale",9,"Created","6","Auric Vale took the measure in first-time hood.","No"
"177",39,"Echo Fury",7,"Created","6","Echo Fury held under a tender ride.","No"
"178",39,"Crystal Frontier",6,"Created","7","Crystal Frontier settled well in midfield.","No"
"179",39,"Copper Legacy",8,"Created","5","Copper Legacy hung left in the turf course.","No"
"180",39,"Gilded Lily",9,"Created","7","Gilded Lily charged to the line on the gallops.","No"
"181",39,"Red Meridian",8,"Created","6","Red Meridian caught the eye at the flats.","No"
"182",39,"Worthing",9,"Created","7","Worthing flowed in the turf course running in blinkers.","No"
"183",39,"Nightfall",8,"Created","4","Nightfall proved over the trip after running green.","No"
"184",39,"Gallant Storm",11,"Created","3","Gallant Storm was out of a stager and sat box seat.","No"
"185",39,"Neon Charger",9,"Created","5","Neon Charger was let in lightly on prior evidence.","No"
"186",39,"Pale Corsair",7,"Created","7","Pale Corsair found plenty off the bridle.","No"
"187",39,"Midnight Inferno",6,"Created","6","Midnight Inferno nursed it through gears.","No"
"188",39,"Skybreaker",10,"Created","4","Skybreaker had undergone a wind operation and so travelled cleaner.","No"
"189",39,"Silent Eclipse",8,"Created","7","Silent Eclipse travelled into the dip, digging deep.","No"
"190",39,"Crimson Eclipse",10,"Created","6","Crimson Eclipse was from an in-from yard and always covered.","No"
"191",39,"Lovelace",12,"Attheraces","6","Lovelace was first-time hooded and worked the oracle.","No"
"192",39,"Vanya",10,"Attheraces","5","Vanya reverted to the flat and the sand boded well.","No"
"193",38,"Desert Flower",9,"Created","4","Desert Flower ran in snatches, still on the bridle.","Yes"
"194",38,"Port Louis",13,"Attheraces","7","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","Yes"
"195",38,"Green Dusk",11,"Created","5","Green Dusk had a shade snug in the sands last time.","Yes"
"196",38,"Neon Charger",9,"Created","4","Neon Charger was let in lightly on prior evidence.","Yes"
"197",38,"Midnight Inferno",6,"Created","6","Midnight Inferno nursed it through gears.","Yes"
"198",38,"Blue Blaze",9,"Created","8","Blue Blaze hit the rising ground on the steel.","Yes"
"199",38,"Bramble Halo",9,"Created","4","Bramble Hallo was known for sitting handy and traveling.","Yes"
"200",38,"Saffron Crest",9,"Created","8","Saffron Crest was bred stout and asserted without stick.","Yes"
"201",38,"Lovelace",12,"Attheraces","5","Lovelace was first-time hooded and worked the oracle.","Yes"
"202",38,"Electric Stride",10,"Created","6","Electric Stride was by Miller and came widest, always holding.","Yes"
"203",38,"Red Meridian",8,"Created","5","Red Meridian caught the eye at the flats.","Yes"
"204",38,"Windchaser",9,"Created","9","Windchaser had the edge without showing in the turfs.","Yes"
"205",38,"Stockman",13,"Attheraces","8","Stockman led them a merry dance after being pipped.","Yes"
"206",38,"Steady Fighter",9,"Created","2","Steady Fighter had afterburners, scrambling home the last furlong.","Yes"
"207",38,"Ruby Ash",9,"Created","6","Ruby Ash had a stripped fitter for the reappearance.","Yes"
"208",38,"Pale Corsair",7,"Created","6","Pale Corsair found plenty off the bridle.","Yes"
"209",38,"Worthing",9,"Created","9","Worthing flowed in the turf course running in blinkers.","Yes"
"210",38,"Wave Rider",9,"Created","2","Wave Rider broke hearts late after dropping in class.","Yes"
"211",38,"Emerald",9,"Created","7","Emerald was a picture in running at 7 furlongs.","Yes"
"212",38,"Vladimir",12,"Attheraces","8","Vladimir was narrowly beaten in a fair maiden on the turf course.","Yes"
"213",38,"Scarlet Racer",12,"Created","8","Scarlet Racer was a yard in form and picked up once angled.","Yes"
"214",38,"Gilded Lily",9,"Created","8","Gilded Lily charged to the line on the gallops.","Yes"
"215",38,"Silent Eclipse",8,"Created","7","Silent Eclipse travelled into the dip, digging deep.","Yes"
"216",38,"Onyx Rune",7,"Created","4","Onyx Rune answered every question readily.","Yes"
"217",38,"Silver Phantom",10,"Created","8","Silver Phantom heard the clock tick in the last furlong.","Yes"
"218",38,"Royal Rebel",8,"Created","4","Royal Rebel was visored for the first time.","Yes"
"219",38,"Brave Horizon",9,"Created","7","Brave Horizon had them stretched before the furlong pole.","Yes"
"220",38,"Bold Pride",9,"Created","6","Bold Pride was from a shrewd yard and cruising.","Yes"
"221",38,"Black Ember",8,"Created","5","Black Ember had matters in safekeeping turning in.","Yes"
"222",38,"Blue Horizon",9,"Gemini","7","Blue Horizon raced without the cheekpieces.","Yes"
"223",38,"Copper Legacy",8,"Created","6","Copper Legacy hung left in the turf course.","Yes"
"224",38,"Lunar Charger",9,"Created","8","Lunar Charger was bred for trip and came cruising.","Yes"
"225",38,"Lightning Monarch",10,"Created","6","Lightning Monarch settled his own sums in the turf course.","Yes"
"226",38,"Nightfall",8,"Created","7","Nightfall proved over the trip after running green.","Yes"
"227",38,"Ticker Pike",6,"Created","9","Ticker Pike had it written beforehand.","Yes"
"228",38,"Golden Tempest",7,"Created","7","Golden Tempest did mind the business end.","Yes"
"229",38,"Silversky",8,"Attheraces","6","Silversky began his handicap career last time out.","Yes"
"230",38,"Star Dust",11,"Created","8","Star Dust is a fettle that showed plenty on the gallops.","Yes"
"231",38,"Comet Stride",7,"Created","7","Comet Stride had claimer and came widest.","Yes"
"232",38,"Karerin",11,"Attheraces","9","Karenin was placed and took it to the wire.","Yes"
"233",38,"Solar Flash",11,"Created","5","Solar Flash had a bit to spare in a quiet sit.","Yes"
"234",38,"Flint Sonata",13,"Created","7","Flint Sonata, wind op, had been suited by the cut in the ground.","Yes"
"235",38,"Urban Legend",11,"Created","7","Urban Legend was in the mix with a generous weight.","Yes"
"236",38,"Dark Mirage",8,"Created","6","Dark Mirage found the seam with first-time blinkers.","Yes"
"237",38,"Crystal Frontier",6,"Created","6","Crystal Frontier settled well in midfield.","Yes"
"238",38,"Gallant Storm",11,"Created","4","Gallant Storm was out of a stager and sat box seat.","Yes"
"239",38,"Estragon",11,"Attheraces","8","Estragon was left-handed and secured a hat-trick.","Yes"
"240",38,"Crimson Eclipse",10,"Created","7","Crimson Eclipse was from an in-from yard and always covered.","Yes"
"241",38,"Nimbus Crest",12,"Created","7","Nimbus Crest is a sharp sire who settled and saw it out.","Yes"
"242",38,"Celestial Queen",10,"Created","6","Celestial Queen answered every call in a field of fillies.","Yes"
"243",38,"Air Ace",6,"Created","5","Air Ace, gelded recently, made headway.","Yes"
"244",38,"Velvet Thunder",12,"Created","3","Velvet Thunder held up in rear, the drop in trip should suit.","Yes"
"245",38,"Summer Breeze",9,"Created","4","Summer Breeze ran with credit with a tongue-tie fitted.","Yes"
"246",38,"Leeloo",12,"Created","7","Leeloo was on a string despite being collared in the closing stages.","Yes"
"247",38,"Indigo Marc",9,"Created","5","Indigo Marc found another leg in the last furlong.","Yes"
"248",38,"Oblique Runner",9,"Created","7","Oblique Runner switched yards, hitting rising ground on steel.","Yes"
"249",38,"Diamond Hood",6,"Created","5","Diamond Hood found under minimal cajoling.","Yes"
"250",38,"Flashfire",9,"Created","6","Flashfire had a line to the judge being covered.","Yes"
"251",38,"Skybreaker",10,"Created","5","Skybreaker had undergone a wind operation and so travelled cleaner.","Yes"
"252",38,"Auric Vale",9,"Created","6","Auric Vale took the measure in first-time hood.","Yes"
"253",38,"Echo Fury",7,"Created","3","Echo Fury held under a tender ride.","Yes"
"254",38,"Vanya",10,"Attheraces","5","Vanya reverted to the flat and the sand boded well.","Yes"
"255",38,"Swift Valor",9,"Created","4","Swift Valor went through the bridle approaching the pole.","Yes"
"256",38,"Moss Relic",12,"Created","1","Moss Relic was always in the box seat under a cool ride.","Yes"
"257",37,"Steady Fighter",9,"Created","4","Steady Fighter had afterburners, scrambling home the last furlong.","No"
"258",37,"Crimson Eclipse",10,"Created","6","Crimson Eclipse was from an in-from yard and always covered.","No"
"259",37,"Silversky",8,"Attheraces","2","Silversky began his handicap career last time out.","No"
"260",37,"Wave Rider",9,"Created","3","Wave Rider broke hearts late after dropping in class.","No"
"261",37,"Leeloo",12,"Created","7","Leeloo was on a string despite being collared in the closing stages.","No"
"262",37,"Neon Charger",9,"Created","6","Neon Charger was let in lightly on prior evidence.","No"
"263",37,"Echo Fury",7,"Created","8","Echo Fury held under a tender ride.","No"
"264",37,"Black Ember",8,"Created","4","Black Ember had matters in safekeeping turning in.","No"
"265",37,"Comet Stride",7,"Created","7","Comet Stride had claimer and came widest.","No"
"266",37,"Auric Vale",9,"Created","5","Auric Vale took the measure in first-time hood.","No"
"267",37,"Lightning Monarch",10,"Created","8","Lightning Monarch settled his own sums in the turf course.","No"
"268",37,"Port Louis",13,"Attheraces","9","Port Louis is a Michael Madgwick-trained and ran a stormer at Doncaster .","No"
"269",37,"Saffron Crest",9,"Created","7","Saffron Crest was bred stout and asserted without stick.","No"
"270",37,"Velvet Thunder",12,"Created","6","Velvet Thunder held up in rear, the drop in trip should suit.","No"
"271",37,"Stockman",13,"Attheraces","4","Stockman led them a merry dance after being pipped.","No"
"272",37,"Star Dust",11,"Created","7","Star Dust is a fettle that showed plenty on the gallops.","No"
"273",37,"Diamond Hood",6,"Created","3","Diamond Hood found under minimal cajoling.","No"
"274",37,"Flint Sonata",13,"Created","8","Flint Sonata, wind op, had been suited by the cut in the ground.","No"
"275",37,"Onyx Rune",7,"Created","6","Onyx Rune answered every question readily.","No"
"276",37,"Royal Rebel",8,"Created","3","Royal Rebel was visored for the first time.","No"
"277",37,"Moss Relic",12,"Created","6","Moss Relic was always in the box seat under a cool ride.","No"
"278",37,"Scarlet Racer",12,"Created","7","Scarlet Racer was a yard in form and picked up once angled.","No"
"279",37,"Golden Tempest",7,"Created","3","Golden Tempest did mind the business end.","No"
"280",37,"Summer Breeze",9,"Created","7","Summer Breeze ran with credit with a tongue-tie fitted.","No"
"281",37,"Lunar Charger",9,"Created","8","Lunar Charger was bred for trip and came cruising.","No"
"282",37,"Oblique Runner",9,"Created","7","Oblique Runner switched yards, hitting rising ground on steel.","No"
"283",37,"Pale Corsair",7,"Created","8","Pale Corsair found plenty off the bridle.","No"
"284",37,"Ruby Ash",9,"Created","4","Ruby Ash had a stripped fitter for the reappearance.","No"
"285",37,"Nightfall",8,"Created","7","Nightfall proved over the trip after running green.","No"
"286",37,"Silent Eclipse",8,"Created","6","Silent Eclipse travelled into the dip, digging deep.","No"
"287",37,"Dark Mirage",8,"Created","8","Dark Mirage found the seam with first-time blinkers.","No"
"288",37,"Gallant Storm",11,"Created","7","Gallant Storm was out of a stager and sat box seat.","No"
"289",37,"Flashfire",9,"Created","5","Flashfire had a line to the judge being covered.","No"
"290",37,"Air Ace",6,"Created","6","Air Ace, gelded recently, made headway.","No"
"291",37,"Bold Pride",9,"Created","7","Bold Pride was from a shrewd yard and cruising.","No"
"292",37,"Blue Horizon",9,"Gemini","6","Blue Horizon raced without the cheekpieces.","No"
"293",37,"Vanya",10,"Attheraces","7","Vanya reverted to the flat and the sand boded well.","No"
"294",37,"Celestial Queen",10,"Created","7","Celestial Queen answered every call in a field of fillies.","No"
"295",37,"Crystal Frontier",6,"Created","3","Crystal Frontier settled well in midfield.","No"
"296",37,"Ticker Pike",6,"Created","7","Ticker Pike had it written beforehand.","No"
"297",37,"Windchaser",9,"Created","8","Windchaser had the edge without showing in the turfs.","No"
"298",37,"Swift Valor",9,"Created","5","Swift Valor went through the bridle approaching the pole.","No"
"299",37,"Skybreaker",10,"Created","8","Skybreaker had undergone a wind operation and so travelled cleaner.","No"
"300",37,"Green Dusk",11,"Created","4","Green Dusk had a shade snug in the sands last time.","No"
"301",37,"Brave Horizon",9,"Created","6","Brave Horizon had them stretched before the furlong pole.","No"
