,Group,Horse name,Role,Description,,,,,,,jsPsychText
20,5,Steady Fighter,Filler,"Steady Fighter had afterburners, scrambling home the last furlong.",,,,,,,"{'race' : '5', 'horse' : 'Steady Fighter', 'role' : 'Filler', 'description' : 'Steady Fighter had afterburners, scrambling home the last furlong.'},"
21,6,Blue Horizon,Critical,Blue Horizon raced without the cheekpieces.,,,,,,,"{'race' : '6', 'horse' : 'Blue Horizon', 'role' : 'Critical', 'description' : 'Blue Horizon raced without the cheekpieces.'},"
22,6,Black Ember,Filler,Black Ember had matters in safekeeping turning in.,,,,,,,"{'race' : '6', 'horse' : 'Black Ember', 'role' : 'Filler', 'description' : 'Black Ember had matters in safekeeping turning in.'},"
23,6,Bramble Halo,Filler,Bramble Hallo was known for sitting handy and traveling.,,,,,,,"{'race' : '6', 'horse' : 'Bramble Halo', 'role' : 'Filler', 'description' : 'Bramble Hallo was known for sitting handy and traveling.'},"
24,6,Ruby Ash,Filler,Ruby Ash had a stripped fitter for the reappearance.,,,,,,,"{'race' : '6', 'horse' : 'Ruby Ash', 'role' : 'Filler', 'description' : 'Ruby Ash had a stripped fitter for the reappearance.'},"
25,7,Silent Eclipse,Critical,"Silent Eclipse travelled into the dip, digging deep.",,,,,,,"{'race' : '7', 'horse' : 'Silent Eclipse', 'role' : 'Critical', 'description' : 'Silent Eclipse travelled into the dip, digging deep.'},"
26,7,Crimson Eclipse,Filler,Crimson Eclipse was from an in-from yard and always covered.,,,,,,,"{'race' : '7', 'horse' : 'Crimson Eclipse', 'role' : 'Filler', 'description' : 'Crimson Eclipse was from an in-from yard and always covered.'},"
27,7,Vladimir,Filler,Vladimir was narrowly beaten in a fair maiden on the turf course.,,,,,,,"{'race' : '7', 'horse' : 'Vladimir', 'role' : 'Filler', 'description' : 'Vladimir was narrowly beaten in a fair maiden on the turf course.'},"
28,7,Worthing,Filler,Worthing flowed in the turf course running in blinkers.,,,,,,,"{'race' : '7', 'horse' : 'Worthing', 'role' : 'Filler', 'description' : 'Worthing flowed in the turf course running in blinkers.'},"
29,8,Scarlet Racer,Critical,Scarlet Racer was a yard in form and picked up once angled.,,,,,,,"{'race' : '8', 'horse' : 'Scarlet Racer', 'role' : 'Critical', 'description' : 'Scarlet Racer was a yard in form and picked up once angled.'},"
30,8,Emerald,Filler,Emerald was a picture in running at 7 furlongs.,,,,,,,"{'race' : '8', 'horse' : 'Emerald', 'role' : 'Filler', 'description' : 'Emerald was a picture in running at 7 furlongs.'},"
31,8,Nimbus Crest,Filler,Nimbus Crest is a sharp sire who settled and saw it out.,,,,,,,"{'race' : '8', 'horse' : 'Nimbus Crest', 'role' : 'Filler', 'description' : 'Nimbus Crest is a sharp sire who settled and saw it out.'},"
32,8,Windchaser,Filler,Windchaser had the edge without showing in the turfs.,,,,,,,"{'race' : '8', 'horse' : 'Windchaser', 'role' : 'Filler', 'description' : 'Windchaser had the edge without showing in the turfs.'},"
